sec,x1[m],v1[m/s],a1[m/s2],Force1[kgf],Force2[kgf],Fmonitor[V],Vmonitor[V],F_sim,MV1[V],x1tg[m],F1tg[kgf],v1tg[m/s],GLx1[m],GLy1[m],GHy1[m],GHy1[m],GHidariX[m],GhidariY[m],G_ab1[m],wii1-1[V],wii1-2[V],wii1-3[V],wii1-4[V],wii1-5[V],wii1-6[V],wii1-7[V],wii1-8[V],hidarite1-1[V],Hidarite1-2[V],Hidarite1-3[V],Hidarite1-4[V],GLx2[m],GLy2[m],GHy2[m],GHy2[m],GHidari2X[m],Ghidari2Y[m],G_ab2[m],wii2-1[V],wii2-2[V],wii2-3[V],wii2-4[V],wii2-5[V],wii2-6[V],wii2-7[V],wii2-8[V],hidarite2-1[V],Hidarite2-2[V],Hidarite2-3[V],Hidarite2-4[V],F1COP[kgf],x1COP[m],remoteEncoder[m],remoteForce[kgf],remoteGab[m],remoteFmoni[V]
0.326986,0,,,0.223083,0.087891,,,,,,,,,,,,,,62.94787266,,,,,,,,,,,,,,,,,,,-1.829242805,,,,,,,,,,,,,,,,,,
0.329465,0,,,0.221558,0.087891,,,,,,,,,,,,,,62.89082976,,,,,,,,,,,,,,,,,,,-1.844639912,,,,,,,,,,,,,,,,,,
0.333398,0,,,0.222168,0.091858,,,,,,,,,,,,,,62.93230537,,,,,,,,,,,,,,,,,,,-1.843683303,,,,,,,,,,,,,,,,,,
0.33586,0,,,0.22583,0.091248,,,,,,,,,,,,,,62.99401178,,,,,,,,,,,,,,,,,,,-1.839370372,,,,,,,,,,,,,,,,,,
0.338337,0,,,0.221558,0.09552,,,,,,,,,,,,,,63.01076147,,,,,,,,,,,,,,,,,,,-1.832953721,,,,,,,,,,,,,,,,,,
0.340799,0,,,0.226746,0.093994,,,,,,,,,,,,,,62.99985036,,,,,,,,,,,,,,,,,,,-1.818698777,,,,,,,,,,,,,,,,,,
0.343253,0,,,0.232239,0.093384,,,,,,,,,,,,,,63.01012089,,,,,,,,,,,,,,,,,,,-1.793403114,,,,,,,,,,,,,,,,,,
0.345723,0,,,0.233765,0.093689,,,,,,,,,,,,,,63.06908441,,,,,,,,,,,,,,,,,,,-1.75336748,,,,,,,,,,,,,,,,,,
0.348209,-1,,,0.23468,0.094299,,,,,,,,,,,,,,63.21635125,,,,,,,,,,,,,,,,,,,-1.701996779,,,,,,,,,,,,,,,,,,
0.352242,-1,,,0.236206,0.09613,,,,,,,,,,,,,,63.47004064,,,,,,,,,,,,,,,,,,,-1.642021575,,,,,,,,,,,,,,,,,,
